variant,best_epoch,top1_accuracy,top5_accuracy,parameters
ratio_1_8,9,25.050000744628907,55.62000124511719,6012788
ratio_default,9,24.470000631713866,54.85000141601562,6041908
ratio_1_2,9,24.890000637817383,55.68000155029297,6213524
progressive,9,24.53000069885254,54.79000130615234,6045524
