model,parameters,throughput_images_per_second,batch_latency_ms
shvit_s1_ratio_1_8,6012788,3361.521391976417,19.038998279993393
shvit_s1_ratio_default,6041908,3314.3189422858836,19.310151230001793
shvit_s1_ratio_1_2,6213524,3212.211827156242,19.92396624000321
shvit_s1_progressive,6045524,3279.946540355893,19.512513150002633
